排名,球员,球队,18-19赛季得分,命中率,三分命中率,罚球命中率,场次,上场时间,罚球命中数,罚球数,三分命中数,三分投篮数,赛季投篮命中数,18_19赛季场均投篮次数
112,贾莱特-阿伦,篮网,11.1,0.578,0.152,0.7340000000000001,53,26.7,2.5,3.3,0.1,0.6,4.3,7.4
113,泰勒-约翰逊,热火,11.0,0.429,0.36,0.693,43,25.4,1.4,2.0,1.7,4.7,3.9,9.2
113,马科-贝里内利,马刺,11.0,0.423,0.391,0.9129999999999999,53,22.4,1.6,1.7,2.0,5.1,3.7,8.8
113,德马雷-卡罗尔,篮网,11.0,0.387,0.337,0.741,43,25.1,2.7,3.7,1.5,4.6,3.4,8.7
113,德安德烈-乔丹,尼克斯,11.0,0.6459999999999999,0.0,0.684,52,30.9,2.7,4.0,0.0,0.0,4.1,6.4
117,德里克-费沃斯,爵士,10.9,0.5760000000000001,0.233,0.652,53,23.1,1.9,3.0,0.3,1.1,4.4,7.6
117,何塞-巴里亚,独行侠,10.9,0.418,0.297,0.705,38,19.8,1.5,2.0,1.0,3.4,4.2,10.1
117,贾维尔-麦基,湖人,10.9,0.599,0.125,0.652,47,21.6,1.3,2.0,0.0,0.2,4.8,8.0
120,林书豪,老鹰,10.8,0.46799999999999997,0.32799999999999996,0.841,48,19.7,2.9,3.4,0.9,2.6,3.5,7.5
121,戈登-海沃德,凯尔特人,10.7,0.426,0.314,0.845,49,25.8,1.9,2.2,1.1,3.6,3.9,9.1
121,约什-杰克逊,太阳,10.7,0.41200000000000003,0.294,0.662,55,23.8,1.7,2.6,0.8,2.6,4.1,9.9
123,马利克-蒙克,黄蜂,10.6,0.4,0.34700000000000003,0.895,50,18.7,1.5,1.7,1.7,5.0,3.7,9.1
123,蒙特-莫里斯,掘金,10.6,0.493,0.44299999999999995,0.792,53,25.1,0.7,0.9,1.2,2.8,4.3,8.8
123,亚历克-伯克斯,骑士,10.6,0.40299999999999997,0.377,0.8240000000000001,51,24.5,2.2,2.7,1.2,3.2,3.6,8.9
126,贾斯廷-霍勒迪,灰熊,10.5,0.371,0.345,0.887,55,32.8,1.1,1.3,2.1,6.2,3.6,9.8
126,泰瑞克-埃文斯,步行者,10.5,0.386,0.35600000000000004,0.764,47,20.6,1.7,2.3,1.2,3.4,3.8,9.8
128,泰-吉布森,森林狼,10.4,0.562,0.33299999999999996,0.733,52,25.3,1.6,2.2,0.2,0.6,4.3,7.6
129,温德尔-卡特,公牛,10.3,0.485,0.188,0.795,44,25.2,2.0,2.5,0.1,0.7,4.1,8.4
129,德维恩-戴德蒙,老鹰,10.3,0.484,0.374,0.8640000000000001,43,24.7,1.3,1.5,1.2,3.2,3.9,8.1
129,马文-威廉姆斯,黄蜂,10.3,0.42,0.381,0.727,52,28.3,0.9,1.3,2.0,5.3,3.7,8.8
129,弗雷德-范弗利特,猛龙,10.3,0.4,0.36700000000000005,0.831,49,26.8,1.4,1.7,1.6,4.4,3.6,9.0
133,肯塔维厄斯-考德威尔-波普,湖人,10.2,0.428,0.341,0.858,54,23.9,1.7,2.0,1.6,4.6,3.5,8.1
133,亚历克斯-莱恩,老鹰,10.2,0.48100000000000004,0.27899999999999997,0.679,49,19.6,1.9,2.8,0.5,1.8,3.9,8.1
133,达伦-科里森,步行者,10.2,0.465,0.42200000000000004,0.8170000000000001,54,27.9,1.6,2.0,1.1,2.5,3.8,8.1
136,阿朗佐-特里尔,尼克斯,10.1,0.447,0.37200000000000005,0.84,46,21.9,2.6,3.1,0.6,1.7,3.4,7.6
136,谢伊-吉尔杰斯-亚历山大,快船,10.1,0.46299999999999997,0.321,0.8109999999999999,55,26.0,1.8,2.2,0.5,1.5,3.9,8.4
138,沙巴兹-内皮尔,篮网,10.0,0.39,0.34700000000000003,0.835,43,17.9,2.3,2.8,1.4,4.0,3.1,8.1
139,内马尼亚-别利察,国王,9.9,0.48,0.42100000000000004,0.762,52,23.6,0.9,1.2,1.4,3.4,3.8,7.8
139,朗佐-鲍尔,湖人,9.9,0.406,0.32899999999999996,0.41700000000000004,47,30.3,0.4,1.0,1.6,4.8,3.9,9.7
141,达里奥-沙里奇,森林狼,9.8,0.419,0.345,0.878,52,24.8,1.5,1.7,1.4,4.0,3.5,8.3
141,杰迈克尔-格林,灰熊,9.8,0.484,0.396,0.7879999999999999,41,22.0,1.5,2.0,0.9,2.3,3.7,7.6
143,丹尼-格林,猛龙,9.7,0.442,0.418,0.885,53,28.7,0.4,0.5,2.2,5.3,3.5,8.0
143,帕蒂-米尔斯,马刺,9.7,0.429,0.397,0.857,55,23.7,1.2,1.4,1.8,4.6,3.4,7.8
145,德里克-怀特,马刺,9.6,0.5,0.35600000000000004,0.77,45,25.3,1.5,1.9,0.7,1.9,3.7,7.4
145,托尼-帕克,黄蜂,9.6,0.457,0.225,0.73,46,18.2,1.8,2.4,0.2,0.9,3.8,8.3
147,艾尔-法鲁克-阿米奴,开拓者,9.5,0.43,0.35100000000000003,0.836,52,29.6,1.9,2.2,1.3,3.7,3.1,7.3
148,加莱特-坦普尔,灰熊,9.4,0.429,0.35200000000000004,0.75,49,31.2,1.2,1.5,1.5,4.3,3.4,7.9
148,尼古拉斯-巴图姆,黄蜂,9.4,0.46799999999999997,0.405,0.855,53,31.1,1.1,1.3,1.5,3.6,3.4,7.3
150,凯文-赫尔特,老鹰,9.3,0.415,0.39399999999999996,0.7559999999999999,49,27.2,0.6,0.8,1.8,4.6,3.5,8.3
150,杰拉德-格林,火箭,9.3,0.40700000000000003,0.349,0.81,49,21.2,0.7,0.9,2.2,6.2,3.2,7.9
150,特雷-莱尔斯,掘金,9.3,0.425,0.257,0.69,51,18.9,1.4,2.0,0.8,3.3,3.6,8.4
150,朗戴-霍利斯-杰弗森,篮网,9.3,0.402,0.22,0.6459999999999999,44,22.5,2.2,3.3,0.2,0.9,3.5,8.6
154,丹伊恩-多特森,尼克斯,9.2,0.43,0.38,0.6859999999999999,44,24.9,0.8,1.2,1.4,3.8,3.5,8.1
155,托马斯-布莱恩特,奇才,9.1,0.648,0.389,0.8140000000000001,43,18.9,1.3,1.6,0.3,0.8,3.7,5.7
155,凯利-奥利尼克,热火,9.1,0.457,0.342,0.777,48,20.2,1.8,2.3,1.4,4.2,3.0,6.5
157,伊曼-香珀特,国王,8.9,0.382,0.366,0.8290000000000001,42,26.2,0.8,1.0,1.8,4.8,3.2,8.3
157,凯尔-科沃尔,爵士,8.9,0.447,0.42,0.83,48,18.7,0.9,1.1,2.0,4.7,3.0,6.7
159,特里-罗齐尔,凯尔特人,8.8,0.381,0.354,0.8,54,23.0,1.0,1.2,1.5,4.2,3.2,8.4
159,小拉里-南斯,骑士,8.8,0.529,0.33299999999999996,0.711,44,25.4,1.5,2.0,0.3,0.9,3.5,6.6
161,罗德尼-麦格鲁德,热火,8.7,0.40700000000000003,0.365,0.755,47,25.7,0.8,1.0,1.4,3.8,3.3,8.0
161,奥斯汀-里弗斯,火箭,8.7,0.39899999999999997,0.318,0.5429999999999999,50,28.4,0.8,1.4,1.5,4.7,3.2,8.1
163,诺阿-冯莱,尼克斯,8.6,0.455,0.353,0.723,53,26.5,1.8,2.5,0.8,2.2,3.0,6.6
163,约什-哈特,湖人,8.6,0.409,0.34,0.6809999999999999,53,26.7,0.9,1.4,1.5,4.5,3.1,7.6
165,德怀特-鲍威尔,独行侠,8.5,0.58,0.215,0.738,48,16.6,2.0,2.7,0.3,1.4,3.1,5.3
166,马库斯-斯马特,凯尔特人,8.4,0.413,0.377,0.7929999999999999,53,26.8,1.3,1.6,1.6,4.2,2.7,6.6
166,德安德烈-本布里,老鹰,8.4,0.429,0.29,0.618,53,24.9,1.0,1.7,0.7,2.3,3.3,7.8
166,乔纳森-艾萨克,魔术,8.4,0.41100000000000003,0.263,0.846,48,25.8,1.6,1.9,0.8,2.8,3.0,7.3
