排名,球员,球队,18-19赛季得分,命中率,三分命中率,罚球命中率,场次,上场时间,罚球命中数,罚球数,三分命中数,三分投篮数,赛季投篮命中数,18_19赛季场均投篮次数
224,哈里-贾尔斯,国王,6.1,0.502,0.0,0.5579999999999999,40,12.8,0.7,1.3,0.0,0.1,2.7,5.3
224,约吉-费雷尔,国王,6.1,0.45799999999999996,0.395,0.865,43,14.7,0.7,0.9,0.8,2.0,2.3,5.0
224,罗宾-洛佩斯,公牛,6.1,0.524,0.278,0.674,45,16.9,0.7,1.0,0.1,0.4,2.7,5.1
224,迈耶斯-伦纳德,开拓者,6.1,0.545,0.467,0.875,48,14.6,0.7,0.8,0.9,1.9,2.2,4.1
224,尼克-斯陶斯卡斯,骑士,6.1,0.419,0.344,0.889,44,15.3,0.7,0.8,1.0,2.8,2.2,5.2
230,瑞安-阿西迪亚科诺,公牛,6.0,0.424,0.373,0.9,52,25.1,0.9,1.0,1.1,3.1,2.0,4.7
230,艾森-伊利亚索瓦,雄鹿,6.0,0.41700000000000004,0.33299999999999996,0.875,40,17.4,0.7,0.8,0.8,2.2,2.3,5.4
230,富尔坎-科尔克马兹,76人,6.0,0.39299999999999996,0.32799999999999996,0.833,43,14.3,0.8,1.0,1.0,3.2,2.0,5.2
230,埃德-戴维斯,篮网,6.0,0.62,0.0,0.573,54,18.3,1.1,1.9,0.0,0.0,2.4,3.9
234,弗朗克-尼利基纳,尼克斯,5.9,0.342,0.29100000000000004,0.75,41,21.3,0.5,0.7,0.8,2.7,2.3,6.7
235,安德烈-伊格达拉,勇士,5.8,0.486,0.354,0.623,47,23.6,0.7,1.1,0.7,2.1,2.2,4.5
235,韦恩-塞尔登,公牛,5.8,0.42,0.344,0.733,46,16.4,0.7,1.0,0.7,2.0,2.2,5.2
237,戈尔吉-吉昂,森林狼,5.6,0.496,0.325,0.887,53,13.6,1.0,1.2,0.2,0.8,2.1,4.3
238,沙奎尔-哈里森,公牛,5.5,0.401,0.276,0.622,44,17.4,1.0,1.7,0.4,1.3,2.0,5.1
238,CJ-迈尔斯,猛龙,5.5,0.34,0.314,0.795,40,14.1,0.9,1.1,1.1,3.4,1.8,5.2
238,斯特林-布朗,雄鹿,5.5,0.45799999999999996,0.37,0.789,41,15.9,0.4,0.5,0.9,2.4,2.1,4.6
241,泰厄斯-琼斯,森林狼,5.4,0.38,0.297,0.8420000000000001,43,20.3,0.7,0.9,0.5,1.7,2.1,5.5
242,阿方索-麦金尼,勇士,5.2,0.484,0.354,0.517,43,14.7,0.3,0.7,0.6,1.8,2.1,4.4
242,钱德勒-哈奇森,公牛,5.2,0.45899999999999996,0.28,0.605,44,20.3,0.5,0.9,0.3,1.1,2.2,4.8
244,雅各布-珀尔特尔,马刺,5.1,0.636,0.0,0.552,51,14.6,0.7,1.3,0.0,0.0,2.2,3.5
245,马尔钦-戈塔特,快船,5.0,0.532,0.0,0.7290000000000001,47,16.0,0.7,1.0,0.0,0.0,2.1,4.0
245,贾里德-杜德利,篮网,5.0,0.405,0.322,0.629,43,22.0,0.5,0.8,0.9,2.8,1.8,4.4
247,纳伦斯-诺埃尔,雷霆,4.9,0.5820000000000001,0.0,0.7290000000000001,49,14.3,0.7,1.0,0.0,0.0,2.1,3.6
248,迈克-斯科特,快船,4.8,0.4,0.391,0.667,52,14.4,0.2,0.3,1.0,2.6,1.8,4.4
248,蒂姆-弗雷泽,鹈鹕,4.8,0.439,0.33799999999999997,0.7879999999999999,42,18.9,0.6,0.8,0.6,1.7,1.8,4.1
248,韦斯利-艾旺杜,魔术,4.8,0.39799999999999996,0.325,0.81,40,16.8,1.3,1.6,0.3,1.0,1.6,4.0
251,罗伊斯-奥尼尔,爵士,4.7,0.462,0.389,0.727,54,18.3,0.4,0.6,0.7,1.8,1.8,3.8
251,布鲁斯-布朗,活塞,4.7,0.37799999999999995,0.254,0.721,46,19.8,0.7,0.9,0.4,1.5,1.8,4.8
253,肖恩-利文斯顿,勇士,4.6,0.484,0.0,0.8140000000000001,41,15.4,0.9,1.0,0.0,0.1,1.9,3.8
253,扎扎-帕楚里亚,活塞,4.6,0.439,0.0,0.765,43,14.9,1.7,2.3,0.0,0.1,1.4,3.2
255,哈米杜-迪亚洛,雷霆,4.4,0.46299999999999997,0.174,0.61,43,11.9,0.8,1.4,0.1,0.5,1.7,3.7
256,帕特里克-帕特森,雷霆,4.1,0.387,0.35200000000000004,0.621,53,14.6,0.3,0.6,0.8,2.4,1.4,3.8
256,杰里安-格兰特,魔术,4.1,0.392,0.325,0.677,44,17.6,0.5,0.7,0.6,1.9,1.5,3.9
258,泰森-钱德勒,湖人,3.6,0.608,0.0,0.608,46,17.1,1.0,1.7,0.0,0.0,1.3,2.1
258,蒂龙-华莱士,快船,3.6,0.43,0.14300000000000002,0.48700000000000004,41,10.0,0.5,0.9,0.1,0.3,1.6,3.6
260,丹特-坎宁安,马刺,3.4,0.47700000000000004,0.5,0.7859999999999999,49,15.8,0.2,0.3,0.6,1.1,1.3,2.7
261,谢米-奥杰莱,凯尔特人,3.3,0.42,0.292,0.7,39,10.5,0.4,0.5,0.5,1.7,1.2,2.9
261,斯维亚托斯拉夫-米哈伊柳克,湖人,3.3,0.33299999999999996,0.318,0.6,39,10.8,0.3,0.5,0.7,2.2,1.1,3.4
263,乔治-尼昂,爵士,3.1,0.431,0.4,0.818,40,7.6,0.2,0.3,0.7,1.8,1.1,2.5
264,乔丹-贝尔,勇士,2.8,0.523,0.0,0.667,46,10.9,0.3,0.5,0.0,0.0,1.3,2.4
265,何塞-卡尔德隆,活塞,2.6,0.381,0.25,0.818,44,14.0,0.2,0.2,0.3,1.3,1.0,2.7
266,昆西-庞德塞特,马刺,1.9,0.488,0.375,0.7709999999999999,40,5.5,0.7,0.9,0.2,0.4,0.5,1.1
